ID ANSSI,Titre ANSSI,Type,Date de publication,Lien ANSSI,CVE,Description,Score CVSS,Gravité CVSS,Type CWE,CWE Description,Score EPSS,Éditeur,Produit,Versions affectées
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,apq8052,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,apq8056_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,apq8056,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,apq8076_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,apq8076,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,apq8096au_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,apq8096au,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,aqt1000_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,aqt1000,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,ar8031_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,ar8031,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,csra6620_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,csra6620,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,csra6640_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,csra6640,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,msm8108_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,msm8108,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,msm8208_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,msm8208,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,msm8209_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,msm8209,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,msm8608_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,msm8608,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,msm8909w_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,msm8909w,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,msm8952_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,msm8952,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,msm8956_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,msm8956,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,msm8976_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,msm8976,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,msm8976sg_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,msm8976sg,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,msm8996au_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,msm8996au,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qca6310_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qca6310,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qca6320_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qca6320,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qca6335_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qca6335,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qca6390_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qca6390,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qca6391_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qca6391,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qca6420_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qca6420,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qca6421_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qca6421,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qca6426_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qca6426,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qca6430_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qca6430,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qca6431_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qca6431,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qca6436_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qca6436,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qca6564a_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qca6564a,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qca6564au_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qca6564au,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qca6574_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qca6574,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qca6574a_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qca6574a,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qca6574au_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qca6574au,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qca6584au_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qca6584au,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qca6595au_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qca6595au,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qca6696_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qca6696,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qcc5100_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qcc5100,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qcm2290_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qcm2290,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qcm4290_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qcm4290,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qcm6125_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,qcm6125,-
